Barra,Nome,Tensão,Angulo,Pgerada,Qgerada,Pcarga,Qcarga,Para,P_fluxo,Q_fluxo
1,Barra_1,1.000000,0.000000,74.759315,337.685385,65.000000,30.000000,,,,
,,,,,,,,3,21.401208,-11.443785
,,,,,,,,4,-7.058131,-19.952097
,,,,,,,,5,-7.343450,36.074082
,,,,,,,,6,2.759688,-29.992815
2,Barra_2,1.020000,182.427605,0.000000,3296.570420,115.000000,60.000000,,,,
,,,,,,,,3,-24.740378,521.582191
,,,,,,,,4,-15.269841,1050.380150
,,,,,,,,7,41.758493,529.735589
,,,,,,,,8,-481.081129,788.419290
3,Barra_3,1.030000,-2.977554,180.000000,1614.958892,70.000000,40.000000,,,,
,,,,,,,,4,-56.126509,-6.400025
,,,,,,,,9,732.513082,688.455811
,,,,,,,,1,-21.401208,12.916215
,,,,,,,,2,24.740378,526.707191
4,Barra_4,1.040000,0.777719,0.000000,1617.188692,70.000000,70.000000,,,,
,,,,,,,,10,2.154311,-24.954929
,,,,,,,,9,467.897005,470.155592
,,,,,,,,1,7.058131,20.847903
,,,,,,,,2,15.269841,1070.980150
,,,,,,,,3,56.126509,10.159975
5,Barra_5,0.910000,1.155982,0.000000,0.000000,65.000000,30.000000,,,,
,,,,,,,,1,7.343450,-32.685918
6,Barra_6,1.060000,-0.298338,0.000000,465.965985,115.000000,60.000000,,,,
,,,,,,,,1,-2.759688,31.807185
7,Barra_7,1.070000,-348.769378,180.000000,977.112289,70.000000,40.000000,,,,
,,,,,,,,2,-41.758493,555.860589
8,Barra_8,1.080000,301.568877,0.000000,921.419290,70.000000,70.000000,,,,
,,,,,,,,2,481.081129,851.419290
9,Barra_9,0.910000,-80.636520,0.000000,0.000000,65.000000,30.000000,,,,
,,,,,,,,3,-732.513082,502.215811
,,,,,,,,4,-467.897005,343.405592
10,Barra_10,1.100000,0.507978,0.000000,489.335071,115.000000,60.000000,,,,
,,,,,,,,4,-2.154311,26.405071
